product_id,category,name,short_description,dimensions,shipping_weight,avg_customer_rating,standard_price,cost_of_products,average_ratings
B1,Books,Distant Nebula,"The image of a distant nebula, in the constellation Orion, photographed by the Hubble Space Telescope. The nebula is about 1,500 light-years across, and is about 1,500 light-years from Earth. For comparison, the distance to the Andromeda Galaxy is 2.5 kilop","length: 2.5, width: 3, height: 2",0.8,4,12.99,10.99,4.9
B2,Books,Cold Grave,"Cold Grave is a moody and atmospheric horror tale set in an old graveyard. Set in the days following a zombie apocalypse, you play as a group of survivors who are trying to keep their sanity and stay alive.",,1,2.4,9.99,4.99,3.0
B3,Books,Dangerous Elysium,"Dangerous Elysium is a story of a man who is thrown into a world of surreal and hazardous circumstances. As the game progresses, your choices will determine not just who you are, but who you can be.",,0.5,3.6,8,2,4.1
B4,Books,Children of the Nova,,,0.48,2.4,14,9,4.3
B5,Books,The Silver Cradle,,,0.6,4,13.5,5.5,3.4
B6,Books,Rich Dad Poor Dad,"Rich Dad Poor Dad is Robert's story of growing up with two dads — his real father and the father of his best friend, his rich dad — and the ways in which both men shaped his thoughts about money and investing. The book explodes the myth that you need to earn a high income to be rich and explains the difference between working for money and having your money work for you.",,0.3,4.5,13.99,7.99,4.0
B7,Books,The Alchemist,"The Alchemist is a classic novel in which a boy named Santiago embarks on a journey seeking treasure in the Egyptian pyramids after having a recurring dream about it and on the way meets mentors, falls in love, and most importantly, learns the true importance of who he is and how to improve himself",,0.6,4.2,16.99,12.99,3.3
B8,Books,The Psychology of Money,"In this book, Morgan Housel addresses the often-neglected fact that we are irrational, emotional beings, not ROI-optimizing machines. Your financial success depends more on your soft skills (how you manage your psychology and emotional impulses) than your technical skills on financial analyses, market rules/laws",,0.4,3.9,10.99,6.99,3.9
B9,Books,"Thinking, Fast and Slow","Our brain is composed of systems, just like a computer. Fast, intuitive, and emotive describe System 1. In his book, Daniel Kahneman exhorts us to stop depending on this system. The most frequent cause of errors and stagnation is System 1. System 2 is a slower, more careful, and rational mental process in comparison. Kahneman advises making more frequent use of this system. Kahneman offers suggestions on how and why we make decisions in addition to this.",,0.5,4.7,9.99,7.99,3.4
B10,Books,Sapiens,"Why are we so smart? Why are we so dangerous? Why are we Sapiens? The world's foremost historian and thinker, Yuval Noah Harari, questions what we believe to be true about humanity. Earth has existed for 4.5 billion years. It has been conquered by one species among many others in a little portion of that time: humans. Yuval Noah Harari examines our identities, origins, and future in this audacious and thought-provoking book.",,0.7,3.6,15.75,7.75,4.2
